number,event_number,particle_name,particle_id,E,Px,Py,Pz
9409,7388,e+,-11,74.3064,-58.2732,10.3132,-44.9368
9410,7389,e-,11,68.5808,50.4409,36.3304,-28.9679
9411,7389,e+,-11,176.717,45.3358,-18.0939,-169.841
9412,7390,e+,-11,122.94,37.112,108.677,43.8884
9413,7390,e-,11,49.3943,13.5352,-32.7995,34.3627
9414,7391,e+,-11,43.4312,-37.6338,19.7064,-9.03464
9415,7391,e-,11,142.255,-0.279897,-41.5844,136.041
9416,7393,e-,11,70.7615,16.2659,-57.1553,38.4172
9417,7393,e+,-11,73.2196,16.0354,-6.29828,71.164
9418,7394,e-,11,147.125,-47.3846,-11.5779,138.804
9419,7395,e+,-11,221.351,-162.325,-29.6087,-147.546
9420,7395,e-,11,22.8189,9.90341,9.07705,18.4453
9421,7396,e+,-11,247.268,-78.5202,79.3895,-220.621
9422,7396,e-,11,14.1756,-9.59262,5.46972,8.8889
9423,7397,e+,-11,666.057,112.478,17.4097,656.26
9424,7397,e-,11,64.9571,-32.9263,-55.8753,3.63908
9425,7398,e-,11,77.5308,18.765,31.6693,68.2346
9426,7400,e-,11,118.489,64.6238,-35.0383,-92.9287
9427,7401,e-,11,63.8232,-19.4083,60.5737,-5.24891
9428,7402,e+,-11,29.2546,4.05728,-15.5353,-24.4545
9429,7403,e+,-11,98.6913,-87.6959,16.6937,-42.0798
9430,7403,e-,11,18.5986,-12.1115,-12.5091,6.53766
9431,7404,e-,11,402.65,106.631,55.4548,384.294
9432,7404,e+,-11,198.509,-113.703,-36.0235,158.681
9433,7405,e-,11,93.2078,13.5027,65.9085,64.5093
9434,7405,e+,-11,48.355,19.3259,30.6487,32.0215
9435,7406,e-,11,69.6915,62.7708,15.9888,25.7116
9436,7406,e+,-11,16.7296,4.81083,15.8904,2.05654
9437,7407,e+,-11,56.539,31.2098,-21.8227,41.7896
9438,7407,e-,11,151.342,29.8585,2.73296,148.343
9439,7409,e+,-11,19.9692,-12.9306,0.785864,-15.197
9440,7410,e+,-11,47.0239,1.83548,-41.3481,-22.3207
9441,7412,e+,-11,24.5825,-14.05,15.9624,-12.3327
9442,7412,e-,11,17.7368,-8.9638,-15.119,-2.37906
9443,7413,e-,11,137.056,-63.6939,-37.3147,115.478
9444,7413,e+,-11,92.0044,-13.8969,43.4095,79.9207
9445,7414,e-,11,100.24,30.3298,-21.5845,93.0712
9446,7414,e+,-11,27.1877,-21.9345,-16.0571,0.46705
9447,7415,e-,11,26.2657,-8.92354,-18.8313,-15.9888
9448,7415,e+,-11,22.6372,-6.60258,-8.95557,19.7141
9449,7416,e+,-11,97.7808,-48.6024,-25.0852,81.0533
9450,7416,e-,11,15.5048,-13.5342,-6.12299,4.4419
9451,7418,e-,11,123.201,-47.7716,108.21,34.4549
9452,7418,e+,-11,93.7068,-9.23738,-92.9633,7.31182
9453,7419,e+,-11,142.185,130.116,-39.4126,-41.6286
9454,7419,e-,11,51.6451,-41.1121,-29.313,10.8516
9455,7420,e-,11,122.808,21.1305,-113.176,42.7376
9456,7420,e+,-11,139.388,-19.2842,90.5715,104.183
9457,7421,e+,-11,68.4554,-59.9979,32.9479,-0.910784
9458,7422,e+,-11,59.3155,-51.6913,-13.526,-25.7562
9459,7424,e+,-11,27.8426,-0.0442224,-12.7429,24.7554
9460,7425,e-,11,66.0829,-27.3678,-8.87275,-59.4914
9461,7426,e+,-11,36.9361,13.1317,34.1008,5.3825
9462,7428,e+,-11,38.7555,-11.439,-27.3014,-25.0154
9463,7429,e+,-11,129.4,-2.65637,55.7358,116.751
9464,7430,e-,11,119.77,36.4526,-41.1107,106.424
9465,7430,e+,-11,10.5263,4.26627,9.26312,2.6071
9466,7431,e+,-11,90.7717,55.3575,56.2317,44.8671
9467,7431,e-,11,109.954,-46.2833,-55.0998,-83.1371
9468,7432,e+,-11,26.9596,8.29891,-9.52647,-23.8159
9469,7433,e+,-11,34.5796,16.9856,27.298,-12.73
9470,7433,e-,11,24.7255,17.4078,14.7235,-9.56759
9471,7434,e+,-11,62.0599,-13.318,-34.738,49.6723
9472,7434,e-,11,141.865,15.2754,18.6319,139.804
9473,7435,e-,11,78.9859,-63.0929,41.8673,-22.4764
9474,7436,e-,11,150.236,96.0751,-89.3935,73.1393
9475,7436,e+,-11,165.084,-50.4855,19.458,155.966
9476,7438,e+,-11,261.677,-17.0231,-107.701,237.877
9477,7439,e-,11,190.837,27.3902,-30.5599,186.372
9478,7439,e+,-11,47.9477,7.9947,-37.7149,28.5071
9479,7444,e-,11,60.0424,-12.4379,-46.1371,36.356
9480,7445,e-,11,120.367,-41.8421,-49.9754,-101.192
9481,7446,e-,11,20.448,-11.1843,17.1037,-0.705475
9482,7449,e-,11,230.006,-52.8333,41.2193,-220.028
9483,7450,e-,11,241.614,30.3278,44.6811,235.502
9484,7450,e+,-11,27.6623,-7.63819,-7.7492,-25.4325
9485,7453,e+,-11,81.4605,69.0893,-24.0633,35.8252
9486,7453,e-,11,49.1075,-38.3854,-16.8435,25.5813
9487,7454,e-,11,96.8437,-30.2444,32.1448,86.2014
9488,7454,e+,-11,23.1842,-8.37612,-16.5445,13.915
9489,7455,e-,11,407.268,71.3531,27.0674,-400.054
9490,7455,e+,-11,52.7911,33.2608,-12.3998,-39.0752
9491,7456,e+,-11,207.217,-40.4099,-16.4214,-202.574
9492,7456,e-,11,26.0539,-15.9502,-1.46267,-20.5489
9493,7457,e+,-11,47.8733,14.1126,-24.8687,38.3958
9494,7457,e-,11,12.5178,-5.80986,10.9589,1.68585
9495,7458,e+,-11,151.6,33.7808,-102.459,106.506
9496,7458,e-,11,33.9982,-5.31846,33.4347,3.11609
9497,7459,e+,-11,51.6729,10.9392,-31.0503,-39.8284
9498,7460,e-,11,72.4848,47.5674,-47.7002,26.7597
9499,7460,e+,-11,62.4508,-24.4822,-36.2362,-44.5833
9500,7461,e+,-11,398.019,52.9326,-39.4089,392.51
9501,7462,e+,-11,469.478,-29.9864,236.048,404.712
9502,7462,e-,11,438.829,-29.6227,-100.45,-426.15
9503,7463,e-,11,93.3331,-10.1381,-82.3951,42.6536
9504,7463,e+,-11,13.1971,6.75941,-9.613,6.00537
9505,7464,e+,-11,122.645,20.2704,59.0207,105.582
9506,7465,e+,-11,89.0434,-75.832,44.1415,-15.1583
9507,7466,e+,-11,49.5028,-17.3066,35.845,-29.4303
9508,7467,e-,11,68.9318,34.0145,-48.2202,-35.6289
9509,7468,e+,-11,144.188,26.8793,-92.3688,-107.404
9510,7468,e-,11,150.961,-36.5783,3.17134,-146.428
9511,7469,e-,11,32.8159,-1.01925,14.1459,29.5928
9512,7470,e+,-11,273.983,-50.2188,9.13436,269.186
9513,7471,e+,-11,50.3374,-43.0412,0.158234,26.1014
9514,7472,e-,11,211.395,13.3326,55.3162,203.593
9515,7472,e+,-11,159.926,41.3349,-33.4956,150.817
9516,7473,e+,-11,53.9347,16.5207,-40.7099,-31.2846
9517,7473,e-,11,76.748,-19.394,34.4342,65.7907
9518,7474,e+,-11,29.7757,-0.914456,-29.0316,6.55147
9519,7475,e+,-11,456.728,-109.583,-2.46143,-443.381
9520,7475,e-,11,184.86,66.6851,45.1612,-166.393
9521,7476,e-,11,91.6744,43.4332,27.3695,75.9517
9522,7476,e+,-11,50.1898,17.9665,-10.6518,45.6373
9523,7477,e-,11,14.6494,-10.2235,8.95624,-5.46544
9524,7478,e-,11,86.5135,-7.88575,-39.4308,76.6003
9525,7479,e-,11,21.017,15.8221,11.9069,-7.04275
9526,7480,e+,-11,337.331,-19.258,-69.3544,329.563
9527,7480,e-,11,58.59,38.357,42.0265,13.9748
9528,7481,e-,11,89.8219,-62.2037,58.8603,27.095
9529,7481,e+,-11,186.27,-2.75942,-69.8628,172.65
9530,7482,e-,11,180.119,3.42564,-119.623,134.615
9531,7483,e+,-11,96.6414,-51.0149,-75.852,31.361
9532,7483,e-,11,214.953,25.555,29.3579,-211.399
9533,7484,e-,11,101.192,11.4623,-88.8353,-47.0826
9534,7484,e+,-11,28.0429,-27.7516,4.02402,-0.248166
9535,7485,e-,11,125.046,31.2373,47.4525,111.396
9536,7486,e-,11,103.259,11.6744,-101.695,13.5744
9537,7487,e-,11,53.632,-15.7418,-7.73452,-50.683
9538,7488,e-,11,68.2718,-30.4449,8.30818,60.5403
9539,7489,e-,11,388.625,-30.932,-81.3145,378.762
9540,7489,e+,-11,119.803,30.603,-25.1001,113.076
9541,7491,e-,11,63.6341,49.6396,-33.4531,21.5895
9542,7491,e+,-11,54.1644,-51.7654,5.83662,-14.8346
9543,7492,e+,-11,40.0374,21.6044,-15.5786,29.8923
9544,7493,e-,11,85.9877,-78.4894,-16.9034,30.7826
9545,7493,e+,-11,88.6949,-3.66662,57.8485,67.1335
9546,7494,e-,11,50.9434,-8.96927,49.5473,7.73631
9547,7494,e+,-11,43.8958,27.9544,-25.6338,22.0976
9548,7495,e+,-11,374.677,68.2412,-56.3194,-364.08
9549,7496,e+,-11,383.494,35.1278,-68.8754,-375.619
9550,7496,e-,11,82.8615,27.961,22.9508,-74.5485
