number,event_number,particle_name,particle_id,E,Px,Py,Pz
10709,7837,e+,-11,43.6278,-29.9212,31.7141,1.52281
10710,7837,e-,11,43.8448,43.2572,-2.34966,-6.75756
10711,7838,e-,11,163.43,-56.4715,36.3636,148.99
10712,7838,e+,-11,81.2984,-37.0912,-42.7159,58.3868
10713,7840,e+,-11,125.203,-38.2157,113.558,36.3311
10714,7842,e-,11,49.4567,5.54205,39.9363,28.6416
10715,7842,e+,-11,50.0639,20.3083,12.7951,-43.9346
10716,7843,e+,-11,202.237,-65.1677,40.8953,187.031
10717,7843,e-,11,75.9904,-9.55897,15.1719,73.8443
10718,7844,e+,-11,511.422,-38.9926,-120.508,495.489
10719,7844,e-,11,308.75,78.099,97.3003,282.418
10720,7845,e+,-11,31.1421,5.57729,-25.1357,-17.5193
10721,7846,e+,-11,104.408,76.5103,39.3504,-59.1504
10722,7846,e-,11,65.984,-21.6681,-60.5776,-14.6536
10723,7847,e+,-11,198.557,87.9244,-2.4102,-178.013
10724,7848,e+,-11,128.628,76.0101,33.3485,98.2618
10725,7850,e+,-11,56.6948,-37.4166,-21.7583,36.6179
10726,7850,e-,11,26.5151,-12.8957,-0.334116,23.1655
10727,7851,e+,-11,134.225,27.5119,-6.55947,-131.212
10728,7852,e-,11,221.76,-51.4434,48.1354,-210.271
10729,7853,e+,-11,107.459,-7.09522,30.1502,102.898
10730,7854,e+,-11,41.0863,6.043,27.847,-29.5993
10731,7854,e-,11,44.2291,7.98091,14.7032,40.943
10732,7855,e+,-11,53.159,-35.1998,21.3884,-33.6064
10733,7855,e-,11,53.1399,-9.91628,-26.4703,44.9982
10734,7856,e+,-11,226.128,-23.7376,85.2042,-208.112
10735,7856,e-,11,90.4025,-51.7908,-13.8954,72.7822
10736,7857,e-,11,237.707,-112.729,67.5288,198.082
10737,7857,e+,-11,167.623,99.4948,-5.72811,134.78
10738,7858,e+,-11,70.1325,44.5862,51.5856,16.4185
10739,7858,e-,11,146.803,55.8895,-20.4479,-134.199
10740,7859,e-,11,33.1071,-6.63206,-16.9156,27.6759
10741,7860,e+,-11,127.503,22.0582,57.2118,111.791
10742,7860,e-,11,23.6305,-20.4623,-0.89388,11.7855
10743,7861,e+,-11,48.4589,-20.5237,-17.0779,40.4399
